molecule,series,time_h,concentration,unit
fentanyl,published_human_approx_digitized,0.0,0.0,ng/mL
fentanyl,published_human_approx_digitized,6.0,0.06,ng/mL
fentanyl,published_human_approx_digitized,12.0,0.24,ng/mL
fentanyl,published_human_approx_digitized,18.0,0.48,ng/mL
fentanyl,published_human_approx_digitized,24.0,0.72,ng/mL
fentanyl,published_human_approx_digitized,31.7,0.85,ng/mL
fentanyl,published_human_approx_digitized,48.0,0.8,ng/mL
fentanyl,published_human_approx_digitized,72.0,0.69,ng/mL
fentanyl,published_human_approx_digitized,84.0,0.48,ng/mL
fentanyl,published_human_approx_digitized,96.0,0.34,ng/mL
fentanyl,published_human_approx_digitized,120.0,0.17,ng/mL
fentanyl,published_human_approx_digitized,144.0,0.09,ng/mL
fentanyl,osp_marketed_regimen_prediction,0.0,0.0,ng/mL
fentanyl,osp_marketed_regimen_prediction,1.0,0.0072701314089065,ng/mL
fentanyl,osp_marketed_regimen_prediction,2.0,0.0176727335656223,ng/mL
fentanyl,osp_marketed_regimen_prediction,3.0,0.0289790442230538,ng/mL
fentanyl,osp_marketed_regimen_prediction,4.0,0.0408096594336505,ng/mL
fentanyl,osp_marketed_regimen_prediction,5.0,0.0529217747073065,ng/mL
fentanyl,osp_marketed_regimen_prediction,6.0,0.0651393470212057,ng/mL
fentanyl,osp_marketed_regimen_prediction,7.0,0.0773331071367686,ng/mL
fentanyl,osp_marketed_regimen_prediction,8.0,0.0894079679399137,ng/mL
fentanyl,osp_marketed_regimen_prediction,9.0,0.101294171940687,ng/mL
fentanyl,osp_marketed_regimen_prediction,10.0,0.112940912459442,ng/mL
fentanyl,osp_marketed_regimen_prediction,11.0,0.124311667007769,ng/mL
fentanyl,osp_marketed_regimen_prediction,12.0,0.135380749030218,ng/mL
fentanyl,osp_marketed_regimen_prediction,13.0,0.146130743891117,ng/mL
fentanyl,osp_marketed_regimen_prediction,14.0,0.15655058285627,ng/mL
fentanyl,osp_marketed_regimen_prediction,15.0,0.166634085090797,ng/mL
fentanyl,osp_marketed_regimen_prediction,16.0,0.176378845753944,ng/mL
fentanyl,osp_marketed_regimen_prediction,17.0,0.185785381966869,ng/mL
fentanyl,osp_marketed_regimen_prediction,18.0,0.19485647173291,ng/mL
fentanyl,osp_marketed_regimen_prediction,19.0,0.203596637214415,ng/mL
fentanyl,osp_marketed_regimen_prediction,20.0,0.212011738998569,ng/mL
fentanyl,osp_marketed_regimen_prediction,21.0,0.220108657056032,ng/mL
fentanyl,osp_marketed_regimen_prediction,22.0,0.227895038166241,ng/mL
fentanyl,osp_marketed_regimen_prediction,23.0,0.235379093772775,ng/mL
fentanyl,osp_marketed_regimen_prediction,24.0,0.242569437302401,ng/mL
fentanyl,osp_marketed_regimen_prediction,25.0,0.249474953278661,ng/mL
fentanyl,osp_marketed_regimen_prediction,26.0,0.256104691982185,ng/mL
fentanyl,osp_marketed_regimen_prediction,27.0,0.262467784268837,ng/mL
fentanyl,osp_marketed_regimen_prediction,28.0,0.268573372404909,ng/mL
fentanyl,osp_marketed_regimen_prediction,29.0,0.274430553977704,ng/mL
fentanyl,osp_marketed_regimen_prediction,30.0,0.280048336638313,ng/mL
fentanyl,osp_marketed_regimen_prediction,31.0,0.285435601697517,ng/mL
fentanyl,osp_marketed_regimen_prediction,32.0,0.290601074953928,ng/mL
fentanyl,osp_marketed_regimen_prediction,33.0,0.295553303479672,ng/mL
fentanyl,osp_marketed_regimen_prediction,34.0,0.300300637406556,ng/mL
fentanyl,osp_marketed_regimen_prediction,35.0,0.304851215889914,ng/mL
fentanyl,osp_marketed_regimen_prediction,36.0,0.309212956587013,ng/mL
fentanyl,osp_marketed_regimen_prediction,37.0,0.313393548049116,ng/mL
fentanyl,osp_marketed_regimen_prediction,38.0,0.317400444558598,ng/mL
fentanyl,osp_marketed_regimen_prediction,39.0,0.321240863024407,ng/mL
fentanyl,osp_marketed_regimen_prediction,40.0,0.324921781643593,ng/mL
fentanyl,osp_marketed_regimen_prediction,41.0,0.328449940007712,ng/mL
fentanyl,osp_marketed_regimen_prediction,42.0,0.33183184042608,ng/mL
fentanyl,osp_marketed_regimen_prediction,43.0,0.335073750270254,ng/mL
fentanyl,osp_marketed_regimen_prediction,44.0,0.338181705174117,ng/mL
fentanyl,osp_marketed_regimen_prediction,45.0,0.341161512911392,ng/mL
fentanyl,osp_marketed_regimen_prediction,46.0,0.344018757862591,ng/mL
fentanyl,osp_marketed_regimen_prediction,47.0,0.346758805939893,ng/mL
